Число,Температура(день),Давление(день),Ветер(день),Температура(вечер),Давление(вечер),Ветер(вечер)
1997-04-01,5,744,З 4м/с,3,743,З 4м/с
1997-04-02,9,740,З 5м/с,6,740,З 5м/с
1997-04-03,10,745,Ю 2м/с,6,743,Ю 2м/с
1997-04-04,15,737,Ю 6м/с,11,734,Ю 6м/с
1997-04-05,7,734,Ю 7м/с,2,736,Ю 7м/с
1997-04-06,4,739,СЗ 3м/с,0,741,СЗ 3м/с
1997-04-07,5,744,С 6м/с,1,747,С 6м/с
1997-04-08,2,749,СВ 5м/с,0,750,СВ 5м/с
1997-04-09,1,750,С 6м/с,-1,750,С 6м/с
1997-04-10,3,744,СЗ 5м/с,0,741,СЗ 5м/с
1997-04-11,1,729,Ю 4м/с,1,726,Ю 4м/с
1997-04-12,4,720,Ю 5м/с,1,726,Ю 5м/с
1997-04-13,1,745,З 3м/с,-1,748,З 3м/с
1997-04-14,3,749,Ю 4м/с,0,748,Ю 4м/с
1997-04-15,14,744,ЮВ 5м/с,11,745,ЮВ 5м/с
1997-04-16,16,745,В 5м/с,10,745,В 5м/с
1997-04-17,8,745,ЮЗ 4м/с,7,744,ЮЗ 4м/с
1997-04-18,12,740,Ю 2м/с,5,739,Ю 2м/с
1997-04-19,2,738,ЮЗ 1м/с,3,737,ЮЗ 1м/с
1997-04-20,3,741,З 6м/с,2,742,З 6м/с
1997-04-21,5,744,З 3м/с,2,745,З 3м/с
1997-04-22,5,745,С 3м/с,0,747,С 3м/с
1997-04-23,7,745,ЮВ 4м/с,5,742,ЮВ 4м/с
1997-04-24,6,742,СЗ 5м/с,4,745,СЗ 5м/с
1997-04-25,14,745,ЮЗ 9м/с,13,744,ЮЗ 9м/с
1997-04-26,7,741,З 2м/с,5,742,З 2м/с
1997-04-27,7,749,СЗ 5м/с,4,750,СЗ 5м/с
1997-04-28,12,752,ЮЗ 4м/с,7,750,ЮЗ 4м/с
1997-04-29,17,749,ЮЗ 5м/с,11,748,ЮЗ 5м/с
1997-04-30,19,748,З 2м/с,13,748,З 2м/с
1997-05-01,22,746,З 2м/с,15,745,З 2м/с
1997-05-02,14,743,З 3м/с,8,741,З 3м/с
1997-05-03,14,732,ЮЗ 4м/с,10,729,ЮЗ 4м/с
1997-05-04,5,732,СЗ 3м/с,3,735,СЗ 3м/с
1997-05-05,11,738,СЗ 4м/с,8,738,СЗ 4м/с
1997-05-06,18,735,ЮВ 5м/с,19,732,ЮВ 5м/с
1997-05-07,21,737,СЗ 5м/с,15,738,СЗ 5м/с
1997-05-08,14,744,С 2м/с,13,746,С 2м/с
1997-05-09,25,747,В 4м/с,21,745,В 4м/с
1997-05-10,24,747,З 5м/с,15,750,З 5м/с
1997-05-11,21,752,З 3м/с,13,752,З 3м/с
1997-05-12,20,754,СЗ 4м/с,15,756,СЗ 4м/с
1997-05-13,23,755,З 4м/с,17,753,З 4м/с
1997-05-14,22,752,ЮЗ 2м/с,17,751,ЮЗ 2м/с
1997-05-17,10,746,СЗ 5м/с,7,746,СЗ 5м/с
1997-05-18,8,747,СЗ 4м/с,5,747,СЗ 4м/с
1997-05-19,15,745,ЮЗ 4м/с,13,740,ЮЗ 4м/с
1997-05-20,13,740,СЗ 3м/с,9,741,СЗ 3м/с
1997-05-21,13,746,С 1м/с,10,745,С 1м/с
1997-05-22,17,742,В 5м/с,14,741,В 5м/с
1997-05-23,21,744,В 1м/с,15,744,В 1м/с
1997-05-24,17,742,З 6м/с,10,744,З 6м/с
1997-05-25,10,750,С 2м/с,7,750,С 2м/с
1997-05-26,11,751,С 4м/с,9,750,С 4м/с
1997-05-27,9,747,С 3м/с,8,747,С 3м/с
1997-05-28,11,747,СВ 3м/с,9,747,СВ 3м/с
1997-05-29,16,747,ЮЗ 2м/с,8,747,ЮЗ 2м/с
1997-05-30,18,750,ЮЗ 2м/с,13,751,ЮЗ 2м/с
1997-05-31,10,753,СВ 3м/с,10,750,СВ 3м/с
1997-06-01,14,745,В 3м/с,14,747,В 3м/с
1997-06-02,15,748,С 2м/с,11,746,С 2м/с
1997-06-03,18,744,Ю 4м/с,13,744,Ю 4м/с
1997-06-04,19,746,Ю 3м/с,16,747,Ю 3м/с
1997-06-05,20,748,ЮЗ 2м/с,15,749,ЮЗ 2м/с
1997-06-06,21,749,С 3м/с,17,749,С 3м/с
1997-06-07,22,749,СВ 2м/с,18,749,СВ 2м/с
1997-06-08,17,751,В 3м/с,17,751,В 3м/с
1997-06-09,25,752,В 4м/с,20,751,В 4м/с
1997-06-10,26,750,Ю 3м/с,19,750,Ю 3м/с
1997-06-11,27,748,Ю 3м/с,20,747,Ю 3м/с
1997-06-12,27,746,З 2м/с,21,744,З 2м/с
1997-06-13,27,744,Ю 2м/с,23,743,Ю 2м/с
1997-06-14,29,743,ЮВ 3м/с,23,742,ЮВ 3м/с
1997-06-15,24,741,ЮЗ 2м/с,20,740,ЮЗ 2м/с
1997-06-16,28,737,ЮЗ 3м/с,20,736,ЮЗ 3м/с
1997-06-17,18,738,ЮЗ 5м/с,12,738,ЮЗ 5м/с
1997-06-18,14,737,З 4м/с,13,737,З 4м/с
1997-06-19,18,737,З 2м/с,16,737,З 2м/с
1997-06-20,14,738,СЗ 4м/с,13,739,СЗ 4м/с
1997-06-21,21,741,СЗ 3м/с,15,741,СЗ 3м/с
1997-06-22,22,744,З 1м/с,17,744,З 1м/с
1997-06-23,25,744,Ю 3м/с,20,743,Ю 3м/с
1997-06-24,26,741,ЮЗ 5м/с,22,740,ЮЗ 5м/с
1997-06-25,18,743,С 2м/с,19,743,С 2м/с
1997-06-26,24,744,СЗ 1м/с,20,744,СЗ 1м/с
1997-06-27,27,746,ЮВ 2м/с,23,746,ЮВ 2м/с
1997-06-28,29,746,Ш,19,746,Ш
1997-06-29,24,745,СЗ 3м/с,21,744,СЗ 3м/с
1997-06-30,22,744,С 4м/с,18,744,С 4м/с
1997-07-01,21,745,С 2м/с,19,744,С 2м/с
1997-07-02,24,747,С 3м/с,19,747,С 3м/с
1997-07-03,27,748,С 3м/с,21,747,С 3м/с
1997-07-04,28,747,СЗ 3м/с,22,747,СЗ 3м/с
1997-07-05,27,744,З 3м/с,19,744,З 3м/с
1997-07-06,21,744,СВ 5м/с,16,746,СВ 5м/с
1997-07-07,22,747,В 2м/с,15,747,В 2м/с
1997-07-08,20,746,Ю 1м/с,17,744,Ю 1м/с
1997-07-09,22,740,З 1м/с,18,738,З 1м/с
1997-07-10,18,736,СВ 3м/с,15,735,СВ 3м/с
1997-07-11,19,737,В 2м/с,15,738,В 2м/с
1997-07-12,14,741,С 1м/с,13,742,С 1м/с
1997-07-13,14,745,С 3м/с,13,746,С 3м/с
1997-07-14,19,747,С 2м/с,15,747,С 2м/с
1997-07-15,19,747,СВ 2м/с,14,747,СВ 2м/с
1997-07-16,18,747,СВ 3м/с,14,747,СВ 3м/с
1997-07-17,18,747,СВ 2м/с,16,747,СВ 2м/с
1997-07-18,15,747,В 3м/с,15,747,В 3м/с
1997-07-19,18,749,В 3м/с,16,750,В 3м/с
1997-07-20,23,750,В 3м/с,18,750,В 3м/с
1997-07-21,26,749,В 4м/с,18,749,В 4м/с
1997-07-22,26,748,В 3м/с,18,748,В 3м/с
1997-07-23,25,749,В 2м/с,20,750,В 2м/с
1997-07-24,23,750,В 2м/с,23,750,В 2м/с
1997-07-25,23,747,В 2м/с,15,746,В 2м/с
1997-07-26,21,745,СВ 2м/с,18,744,СВ 2м/с
1997-07-27,26,745,С 3м/с,18,745,С 3м/с
1997-07-28,28,747,Ю 2м/с,19,747,Ю 2м/с
1997-07-29,29,749,З 2м/с,23,749,З 2м/с
1997-07-30,26,750,С 3м/с,21,749,С 3м/с
1997-07-31,30,745,Ю 3м/с,18,747,Ю 3м/с
1997-08-01,24,744,Ю 3м/с,19,742,Ю 3м/с
1997-08-02,22,743,З 2м/с,18,743,З 2м/с
1997-08-03,23,743,Ю 3м/с,18,743,Ю 3м/с
1997-08-04,19,744,С 2м/с,18,744,С 2м/с
1997-08-05,22,747,СВ 3м/с,16,747,СВ 3м/с
1997-08-06,23,747,С 3м/с,15,748,С 3м/с
1997-08-07,20,750,С 3м/с,14,750,С 3м/с
1997-08-08,23,752,С 3м/с,17,753,С 3м/с
1997-08-09,22,754,В 2м/с,17,754,В 2м/с
1997-08-10,23,755,В 1м/с,15,754,В 1м/с
1997-08-11,23,753,ЮВ 2м/с,15,753,ЮВ 2м/с
1997-08-12,20,750,С 3м/с,15,750,С 3м/с
1997-08-13,17,746,Ш,11,743,Ш
1997-08-14,13,736,СЗ 1м/с,11,736,СЗ 1м/с
1997-08-15,11,736,З 4м/с,11,737,З 4м/с
1997-08-16,13,740,СЗ 4м/с,11,741,СЗ 4м/с
1997-08-17,11,744,СЗ 3м/с,8,744,СЗ 3м/с
1997-08-18,14,747,СЗ 2м/с,11,747,СЗ 2м/с
