,year,month,day,td,pd,cloudd,precipd,wdird,wsd,tn,pn,cloudn,precipn,wdirn,wsn
0,1997,4,1,5.0,744,dull,,З,4,3.0,743,dull,,З,4
1,1997,4,2,9.0,740,suncl,,З,5,6.0,740,suncl,,З,5
2,1997,4,3,10.0,745,sunc,,Ю,2,6.0,743,sun,,Ю,2
3,1997,4,4,15.0,737,suncl,,Ю,6,11.0,734,suncl,,Ю,6
4,1997,4,5,7.0,734,dull,,Ю,7,2.0,736,dull,,Ю,7
5,1997,4,6,4.0,739,suncl,,СЗ,3,0.0,741,sun,,СЗ,3
6,1997,4,7,5.0,744,dull,,С,6,1.0,747,sun,,С,6
7,1997,4,8,2.0,749,dull,,СВ,5,0.0,750,dull,,СВ,5
8,1997,4,9,1.0,750,sunc,,С,6,-1.0,750,sun,,С,6
9,1997,4,10,3.0,744,sun,,СЗ,5,0.0,741,sun,,СЗ,5
10,1997,4,11,1.0,729,dull,,Ю,4,1.0,726,dull,,Ю,4
11,1997,4,12,4.0,720,suncl,,Ю,5,1.0,726,dull,rain,Ю,5
12,1997,4,13,1.0,745,dull,,З,3,-1.0,748,sun,,З,3
13,1997,4,14,3.0,749,dull,,Ю,4,0.0,748,sun,,Ю,4
14,1997,4,15,14.0,744,suncl,,ЮВ,5,11.0,745,suncl,,ЮВ,5
15,1997,4,16,16.0,745,dull,,В,5,10.0,745,dull,rain,В,5
16,1997,4,17,8.0,745,dull,,ЮЗ,4,7.0,744,sun,,ЮЗ,4
17,1997,4,18,12.0,740,dull,rain,Ю,2,5.0,739,dull,,Ю,2
18,1997,4,19,2.0,738,dull,,ЮЗ,1,3.0,737,dull,,ЮЗ,1
19,1997,4,20,3.0,741,suncl,,З,6,2.0,742,sunc,,З,6
20,1997,4,21,5.0,744,dull,,З,3,2.0,745,dull,,З,3
21,1997,4,22,5.0,745,suncl,,С,3,0.0,747,sun,,С,3
22,1997,4,23,7.0,745,dull,,ЮВ,4,5.0,742,dull,rain,ЮВ,4
23,1997,4,24,6.0,742,suncl,,СЗ,5,4.0,745,suncl,,СЗ,5
24,1997,4,25,14.0,745,suncl,,ЮЗ,9,13.0,744,dull,,ЮЗ,9
25,1997,4,26,7.0,741,dull,rain,З,2,5.0,742,suncl,,З,2
26,1997,4,27,7.0,749,suncl,,СЗ,5,4.0,750,sun,,СЗ,5
27,1997,4,28,12.0,752,sun,,ЮЗ,4,7.0,750,suncl,,ЮЗ,4
28,1997,4,29,17.0,749,sun,,ЮЗ,5,11.0,748,sun,,ЮЗ,5
29,1997,4,30,19.0,748,suncl,,З,2,13.0,748,suncl,,З,2
30,1997,5,1,22.0,746,dull,,З,2,15.0,745,dull,,З,2
31,1997,5,2,14.0,743,suncl,,З,3,8.0,741,sun,,З,3
32,1997,5,3,14.0,732,dull,,ЮЗ,4,10.0,729,dull,,ЮЗ,4
33,1997,5,4,5.0,732,suncl,,СЗ,3,3.0,735,suncl,,СЗ,3
