id,year,month,day,td,pd,cloudd,precipd,wdird,wsd,tn,pn,cloudn,precipn,wdirn,wsn
0,1997,4,1,5.0,744.0,dull,,З,4.0,3.0,743.0,dull,,З,4.0
1,1997,4,2,9.0,740.0,suncl,,З,5.0,6.0,740.0,suncl,,З,5.0
2,1997,4,3,10.0,745.0,sunc,,Ю,2.0,6.0,743.0,sun,,Ю,2.0
3,1997,4,4,15.0,737.0,suncl,,Ю,6.0,11.0,734.0,suncl,,Ю,6.0
4,1997,4,5,7.0,734.0,dull,,Ю,7.0,2.0,736.0,dull,,Ю,7.0
5,1997,4,6,4.0,739.0,suncl,,СЗ,3.0,0.0,741.0,sun,,СЗ,3.0
6,1997,4,7,5.0,744.0,dull,,С,6.0,1.0,747.0,sun,,С,6.0
7,1997,4,8,2.0,749.0,dull,,СВ,5.0,0.0,750.0,dull,,СВ,5.0
8,1997,4,9,1.0,750.0,sunc,,С,6.0,-1.0,750.0,sun,,С,6.0
9,1997,4,10,3.0,744.0,sun,,СЗ,5.0,0.0,741.0,sun,,СЗ,5.0
10,1997,4,11,1.0,729.0,dull,,Ю,4.0,1.0,726.0,dull,,Ю,4.0
11,1997,4,12,4.0,720.0,suncl,,Ю,5.0,1.0,726.0,dull,rain,Ю,5.0
12,1997,4,13,1.0,745.0,dull,,З,3.0,-1.0,748.0,sun,,З,3.0
13,1997,4,14,3.0,749.0,dull,,Ю,4.0,0.0,748.0,sun,,Ю,4.0
14,1997,4,15,14.0,744.0,suncl,,ЮВ,5.0,11.0,745.0,suncl,,ЮВ,5.0
15,1997,4,16,16.0,745.0,dull,,В,5.0,10.0,745.0,dull,rain,В,5.0
16,1997,4,17,8.0,745.0,dull,,ЮЗ,4.0,7.0,744.0,sun,,ЮЗ,4.0
17,1997,4,18,12.0,740.0,dull,rain,Ю,2.0,5.0,739.0,dull,,Ю,2.0
18,1997,4,19,2.0,738.0,dull,,ЮЗ,1.0,3.0,737.0,dull,,ЮЗ,1.0
19,1997,4,20,3.0,741.0,suncl,,З,6.0,2.0,742.0,sunc,,З,6.0
20,1997,4,21,5.0,744.0,dull,,З,3.0,2.0,745.0,dull,,З,3.0
21,1997,4,22,5.0,745.0,suncl,,С,3.0,0.0,747.0,sun,,С,3.0
22,1997,4,23,7.0,745.0,dull,,ЮВ,4.0,5.0,742.0,dull,rain,ЮВ,4.0
23,1997,4,24,6.0,742.0,suncl,,СЗ,5.0,4.0,745.0,suncl,,СЗ,5.0
24,1997,4,25,14.0,745.0,suncl,,ЮЗ,9.0,13.0,744.0,dull,,ЮЗ,9.0
25,1997,4,26,7.0,741.0,dull,rain,З,2.0,5.0,742.0,suncl,,З,2.0
26,1997,4,27,7.0,749.0,suncl,,СЗ,5.0,4.0,750.0,sun,,СЗ,5.0
27,1997,4,28,12.0,752.0,sun,,ЮЗ,4.0,7.0,750.0,suncl,,ЮЗ,4.0
28,1997,4,29,17.0,749.0,sun,,ЮЗ,5.0,11.0,748.0,sun,,ЮЗ,5.0
29,1997,4,30,19.0,748.0,suncl,,З,2.0,13.0,748.0,suncl,,З,2.0
30,1997,5,1,22.0,746.0,dull,,З,2.0,15.0,745.0,dull,,З,2.0
31,1997,5,2,14.0,743.0,suncl,,З,3.0,8.0,741.0,sun,,З,3.0
32,1997,5,3,14.0,732.0,dull,,ЮЗ,4.0,10.0,729.0,dull,,ЮЗ,4.0
33,1997,5,4,5.0,732.0,suncl,,СЗ,3.0,3.0,735.0,suncl,,СЗ,3.0
34,1997,5,5,11.0,738.0,sunc,,СЗ,4.0,8.0,738.0,dull,,СЗ,4.0
35,1997,5,6,18.0,735.0,sunc,,ЮВ,5.0,19.0,732.0,suncl,,ЮВ,5.0
36,1997,5,7,21.0,737.0,sunc,,СЗ,5.0,15.0,738.0,sun,,СЗ,5.0
37,1997,5,8,14.0,744.0,sunc,,С,2.0,13.0,746.0,sun,,С,2.0
38,1997,5,9,25.0,747.0,suncl,,В,4.0,21.0,745.0,dull,,В,4.0
39,1997,5,10,24.0,747.0,suncl,,З,5.0,15.0,750.0,sunc,,З,5.0
40,1997,5,11,21.0,752.0,sunc,,З,3.0,13.0,752.0,sun,,З,3.0
41,1997,5,12,20.0,754.0,sunc,,СЗ,4.0,15.0,756.0,sun,,СЗ,4.0
42,1997,5,13,23.0,755.0,dull,,З,4.0,17.0,753.0,sun,,З,4.0
43,1997,5,14,22.0,752.0,dull,,ЮЗ,2.0,17.0,751.0,dull,,ЮЗ,2.0
44,1997,5,17,10.0,746.0,dull,,СЗ,5.0,7.0,746.0,suncl,,СЗ,5.0
45,1997,5,18,8.0,747.0,suncl,,СЗ,4.0,5.0,747.0,sun,,СЗ,4.0
46,1997,5,19,15.0,745.0,sun,,ЮЗ,4.0,13.0,740.0,dull,,ЮЗ,4.0
47,1997,5,20,13.0,740.0,suncl,,СЗ,3.0,9.0,741.0,sun,,СЗ,3.0
48,1997,5,21,13.0,746.0,suncl,,С,1.0,10.0,745.0,suncl,,С,1.0
49,1997,5,22,17.0,742.0,dull,,В,5.0,14.0,741.0,dull,rain,В,5.0
50,1997,5,23,21.0,744.0,dull,,В,1.0,15.0,744.0,dull,,В,1.0
51,1997,5,24,17.0,742.0,dull,,З,6.0,10.0,744.0,dull,,З,6.0
52,1997,5,25,10.0,750.0,suncl,,С,2.0,7.0,750.0,suncl,,С,2.0
53,1997,5,26,11.0,751.0,dull,,С,4.0,9.0,750.0,dull,,С,4.0
54,1997,5,27,9.0,747.0,suncl,,С,3.0,8.0,747.0,dull,,С,3.0
55,1997,5,28,11.0,747.0,dull,,СВ,3.0,9.0,747.0,dull,,СВ,3.0
56,1997,5,29,16.0,747.0,dull,,ЮЗ,2.0,8.0,747.0,sunc,,ЮЗ,2.0
57,1997,5,30,18.0,750.0,suncl,,ЮЗ,2.0,13.0,751.0,suncl,,ЮЗ,2.0
58,1997,5,31,10.0,753.0,dull,rain,СВ,3.0,10.0,750.0,dull,rain,СВ,3.0
59,1997,6,1,14.0,745.0,dull,,В,3.0,14.0,747.0,sunc,,В,3.0
60,1997,6,2,15.0,748.0,dull,rain,С,2.0,11.0,746.0,dull,rain,С,2.0
61,1997,6,3,18.0,744.0,suncl,,Ю,4.0,13.0,744.0,sunc,,Ю,4.0
62,1997,6,4,19.0,746.0,suncl,,Ю,3.0,16.0,747.0,suncl,,Ю,3.0
63,1997,6,5,20.0,748.0,suncl,,ЮЗ,2.0,15.0,749.0,suncl,,ЮЗ,2.0
64,1997,6,6,21.0,749.0,suncl,,С,3.0,17.0,749.0,suncl,,С,3.0
65,1997,6,7,22.0,749.0,suncl,,СВ,2.0,18.0,749.0,dull,,СВ,2.0
66,1997,6,8,17.0,751.0,dull,storm,В,3.0,17.0,751.0,dull,rain,В,3.0
67,1997,6,9,25.0,752.0,dull,,В,4.0,20.0,751.0,sun,,В,4.0
68,1997,6,10,26.0,750.0,suncl,,Ю,3.0,19.0,750.0,sunc,,Ю,3.0
69,1997,6,11,27.0,748.0,suncl,,Ю,3.0,20.0,747.0,sunc,,Ю,3.0
70,1997,6,12,27.0,746.0,sunc,,З,2.0,21.0,744.0,sunc,,З,2.0
71,1997,6,13,27.0,744.0,suncl,,Ю,2.0,23.0,743.0,sunc,,Ю,2.0
72,1997,6,14,29.0,743.0,suncl,,ЮВ,3.0,23.0,742.0,dull,,ЮВ,3.0
73,1997,6,15,24.0,741.0,suncl,storm,ЮЗ,2.0,20.0,740.0,suncl,,ЮЗ,2.0
74,1997,6,16,28.0,737.0,suncl,,ЮЗ,3.0,20.0,736.0,dull,,ЮЗ,3.0
75,1997,6,17,18.0,738.0,suncl,,ЮЗ,5.0,12.0,738.0,dull,rain,ЮЗ,5.0
76,1997,6,18,14.0,737.0,dull,,З,4.0,13.0,737.0,sunc,,З,4.0
77,1997,6,19,18.0,737.0,suncl,,З,2.0,16.0,737.0,suncl,,З,2.0
78,1997,6,20,14.0,738.0,dull,,СЗ,4.0,13.0,739.0,dull,,СЗ,4.0
79,1997,6,21,21.0,741.0,sunc,,СЗ,3.0,15.0,741.0,sunc,,СЗ,3.0
80,1997,6,22,22.0,744.0,dull,,З,1.0,17.0,744.0,dull,,З,1.0
81,1997,6,23,25.0,744.0,sunc,,Ю,3.0,20.0,743.0,sun,,Ю,3.0
82,1997,6,24,26.0,741.0,sunc,,ЮЗ,5.0,22.0,740.0,dull,,ЮЗ,5.0
83,1997,6,25,18.0,743.0,dull,rain,С,2.0,19.0,743.0,dull,,С,2.0
84,1997,6,26,24.0,744.0,suncl,,СЗ,1.0,20.0,744.0,suncl,,СЗ,1.0
85,1997,6,27,27.0,746.0,suncl,,ЮВ,2.0,23.0,746.0,dull,,ЮВ,2.0
86,1997,6,28,29.0,746.0,dull,storm,Ш,0.0,19.0,746.0,dull,,Ш,0.0
87,1997,6,29,24.0,745.0,suncl,,СЗ,3.0,21.0,744.0,sun,,СЗ,3.0
88,1997,6,30,22.0,744.0,suncl,,С,4.0,18.0,744.0,dull,,С,4.0
89,1997,7,1,21.0,745.0,suncl,,С,2.0,19.0,744.0,sun,,С,2.0
90,1997,7,2,24.0,747.0,suncl,,С,3.0,19.0,747.0,sunc,,С,3.0
91,1997,7,3,27.0,748.0,sunc,,С,3.0,21.0,747.0,sunc,,С,3.0
92,1997,7,4,28.0,747.0,dull,,СЗ,3.0,22.0,747.0,dull,,СЗ,3.0
93,1997,7,5,27.0,744.0,dull,,З,3.0,19.0,744.0,suncl,,З,3.0
94,1997,7,6,21.0,744.0,suncl,,СВ,5.0,16.0,746.0,sun,,СВ,5.0
95,1997,7,7,22.0,747.0,suncl,,В,2.0,15.0,747.0,suncl,,В,2.0
96,1997,7,8,20.0,746.0,dull,,Ю,1.0,17.0,744.0,dull,,Ю,1.0
97,1997,7,9,22.0,740.0,dull,,З,1.0,18.0,738.0,dull,storm,З,1.0
98,1997,7,10,18.0,736.0,dull,rain,СВ,3.0,15.0,735.0,dull,,СВ,3.0
99,1997,7,11,19.0,737.0,suncl,,В,2.0,15.0,738.0,dull,,В,2.0
100,1997,7,12,14.0,741.0,dull,rain,С,1.0,13.0,742.0,dull,rain,С,1.0
101,1997,7,13,14.0,745.0,dull,,С,3.0,13.0,746.0,dull,,С,3.0
102,1997,7,14,19.0,747.0,dull,,С,2.0,15.0,747.0,suncl,,С,2.0
103,1997,7,15,19.0,747.0,dull,,СВ,2.0,14.0,747.0,sunc,,СВ,2.0
104,1997,7,16,18.0,747.0,dull,,СВ,3.0,14.0,747.0,dull,,СВ,3.0
105,1997,7,17,18.0,747.0,dull,,СВ,2.0,16.0,747.0,dull,,СВ,2.0
106,1997,7,18,15.0,747.0,dull,rain,В,3.0,15.0,747.0,dull,,В,3.0
107,1997,7,19,18.0,749.0,dull,,В,3.0,16.0,750.0,suncl,,В,3.0
108,1997,7,20,23.0,750.0,suncl,,В,3.0,18.0,750.0,sunc,,В,3.0
109,1997,7,21,26.0,749.0,suncl,storm,В,4.0,18.0,749.0,sunc,,В,4.0
110,1997,7,22,26.0,748.0,sunc,,В,3.0,18.0,748.0,sun,,В,3.0
111,1997,7,23,25.0,749.0,sunc,,В,2.0,20.0,750.0,sunc,,В,2.0
112,1997,7,24,23.0,750.0,sunc,,В,2.0,23.0,750.0,sun,,В,2.0
113,1997,7,25,23.0,747.0,suncl,,В,2.0,15.0,746.0,suncl,,В,2.0
114,1997,7,26,21.0,745.0,dull,,СВ,2.0,18.0,744.0,dull,,СВ,2.0
115,1997,7,27,26.0,745.0,sun,,С,3.0,18.0,745.0,sun,,С,3.0
116,1997,7,28,28.0,747.0,suncl,,Ю,2.0,19.0,747.0,suncl,,Ю,2.0
117,1997,7,29,29.0,749.0,suncl,,З,2.0,23.0,749.0,dull,,З,2.0
118,1997,7,30,26.0,750.0,dull,,С,3.0,21.0,749.0,dull,,С,3.0
119,1997,7,31,30.0,745.0,suncl,,Ю,3.0,18.0,747.0,dull,storm,Ю,3.0
120,1997,8,1,24.0,744.0,suncl,,Ю,3.0,19.0,742.0,dull,storm,Ю,3.0
121,1997,8,2,22.0,743.0,dull,storm,З,2.0,18.0,743.0,dull,,З,2.0
122,1997,8,3,23.0,743.0,suncl,,Ю,3.0,18.0,743.0,dull,,Ю,3.0
123,1997,8,4,19.0,744.0,dull,,С,2.0,18.0,744.0,suncl,,С,2.0
