year,month,day,t(day),p(day),t(night),p(night),wspeed,wdir
1997,4,1,5,744,3,743,4,З
1997,4,2,9,740,6,740,5,З
1997,4,3,10,745,6,743,2,Ю
1997,4,4,15,737,11,734,6,Ю
1997,4,5,7,734,2,736,7,Ю
1997,4,6,4,739,0,741,3,СЗ
1997,4,7,5,744,1,747,6,С
1997,4,8,2,749,0,750,5,СВ
1997,4,9,1,750,-1,750,6,С
1997,4,10,3,744,0,741,5,СЗ
1997,4,11,1,729,1,726,4,Ю
1997,4,12,4,720,1,726,5,Ю
1997,4,13,1,745,-1,748,3,З
1997,4,14,3,749,0,748,4,Ю
1997,4,15,14,744,11,745,5,ЮВ
1997,4,16,16,745,10,745,5,В
1997,4,17,8,745,7,744,4,ЮЗ
1997,4,18,12,740,5,739,2,Ю
1997,4,19,2,738,3,737,1,ЮЗ
1997,4,20,3,741,2,742,6,З
1997,4,21,5,744,2,745,3,З
1997,4,22,5,745,0,747,3,С
1997,4,23,7,745,5,742,4,ЮВ
1997,4,24,6,742,4,745,5,СЗ
1997,4,25,14,745,13,744,9,ЮЗ
1997,4,26,7,741,5,742,2,З
1997,4,27,7,749,4,750,5,СЗ
1997,4,28,12,752,7,750,4,ЮЗ
1997,4,29,17,749,11,748,5,ЮЗ
1997,4,30,19,748,13,748,2,З
1997,5,1,22,746,15,745,2,З
1997,5,2,14,743,8,741,3,З
1997,5,3,14,732,10,729,4,ЮЗ
1997,5,4,5,732,3,735,3,СЗ
1997,5,5,11,738,8,738,4,СЗ
1997,5,6,18,735,19,732,5,ЮВ
1997,5,7,21,737,15,738,5,СЗ
1997,5,8,14,744,13,746,2,С
1997,5,9,25,747,21,745,4,В
1997,5,10,24,747,15,750,5,З
1997,5,11,21,752,13,752,3,З
1997,5,12,20,754,15,756,4,СЗ
1997,5,13,23,755,17,753,4,З
1997,5,14,22,752,17,751,2,ЮЗ
1997,5,17,10,746,7,746,5,СЗ
1997,5,18,8,747,5,747,4,СЗ
1997,5,19,15,745,13,740,4,ЮЗ
1997,5,20,13,740,9,741,3,СЗ
1997,5,21,13,746,10,745,1,С
1997,5,22,17,742,14,741,5,В
1997,5,23,21,744,15,744,1,В
1997,5,24,17,742,10,744,6,З
1997,5,25,10,750,7,750,2,С
1997,5,26,11,751,9,750,4,С
1997,5,27,9,747,8,747,3,С
1997,5,28,11,747,9,747,3,СВ
1997,5,29,16,747,8,747,2,ЮЗ
1997,5,30,18,750,13,751,2,ЮЗ
1997,5,31,10,753,10,750,3,СВ
1997,6,1,14,745,14,747,3,В
1997,6,2,15,748,11,746,2,С
1997,6,3,18,744,13,744,4,Ю
1997,6,4,19,746,16,747,3,Ю
1997,6,5,20,748,15,749,2,ЮЗ
1997,6,6,21,749,17,749,3,С
1997,6,7,22,749,18,749,2,СВ
1997,6,8,17,751,17,751,3,В
1997,6,9,25,752,20,751,4,В
1997,6,10,26,750,19,750,3,Ю
1997,6,11,27,748,20,747,3,Ю
1997,6,12,27,746,21,744,2,З
